Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;08-04-2019 14-15-12;VARIANT_B;7077634957
1;08-04-2019 14-15-19;VARIANT_B;7104992705
2;08-04-2019 14-15-26;VARIANT_B;7107440541
3;08-04-2019 14-15-33;VARIANT_B;6990393398
4;08-04-2019 14-15-40;VARIANT_B;6974166003
5;08-04-2019 14-15-48;VARIANT_B;7030392866
6;08-04-2019 14-15-55;VARIANT_B;7110625762
7;08-04-2019 14-16-02;VARIANT_B;6981172785
8;08-04-2019 14-16-09;VARIANT_B;6931480631
9;08-04-2019 14-16-16;VARIANT_B;6877769535
10;08-04-2019 14-16-23;VARIANT_B;6979823178
11;08-04-2019 14-16-30;VARIANT_B;7042679249
12;08-04-2019 14-16-37;VARIANT_B;7045747469
13;08-04-2019 14-16-44;VARIANT_B;7051490251
14;08-04-2019 14-16-52;VARIANT_B;7049249170
15;08-04-2019 14-16-59;VARIANT_B;7036119917
16;08-04-2019 14-17-06;VARIANT_B;7172292991
17;08-04-2019 14-17-13;VARIANT_B;7191254947
18;08-04-2019 14-17-21;VARIANT_B;7309386799
19;08-04-2019 14-17-28;VARIANT_B;7178367525
20;08-04-2019 14-17-35;VARIANT_B;7311943028
21;08-04-2019 14-17-43;VARIANT_B;7278949934
22;08-04-2019 14-17-50;VARIANT_B;7326020433
23;08-04-2019 14-17-58;VARIANT_B;7290805300
24;08-04-2019 14-18-05;VARIANT_B;7355946495
25;08-04-2019 14-18-12;VARIANT_B;7306416397
26;08-04-2019 14-18-20;VARIANT_B;7410722950
27;08-04-2019 14-18-27;VARIANT_B;7305593605
28;08-04-2019 14-18-35;VARIANT_B;7432668868
29;08-04-2019 14-18-42;VARIANT_B;7323747801
30;08-04-2019 14-18-50;VARIANT_B;7358140594
31;08-04-2019 14-18-57;VARIANT_B;7341438758
32;08-04-2019 14-19-05;VARIANT_B;7540538325
33;08-04-2019 14-19-12;VARIANT_B;7368668787
34;08-04-2019 14-19-20;VARIANT_B;7325363581
35;08-04-2019 14-19-27;VARIANT_B;7279676115
36;08-04-2019 14-19-35;VARIANT_B;7412733702
37;08-04-2019 14-19-42;VARIANT_B;7192214949
38;08-04-2019 14-19-49;VARIANT_B;7092096305
39;08-04-2019 14-19-56;VARIANT_B;7226493135
40;08-04-2019 14-20-04;VARIANT_B;7266317355
41;08-04-2019 14-20-11;VARIANT_B;7222414557
42;08-04-2019 14-20-19;VARIANT_B;7344883537
43;08-04-2019 14-20-26;VARIANT_B;7259890068
