Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 00-57-49;VARIANT_B;13870638569
1;05-04-2019 00-58-03;VARIANT_B;14306216193
2;05-04-2019 00-58-17;VARIANT_B;13670830298
3;05-04-2019 00-58-29;VARIANT_B;12189610566
4;05-04-2019 00-58-46;VARIANT_B;16621365347
5;05-04-2019 00-59-01;VARIANT_B;14555568236
6;05-04-2019 00-59-16;VARIANT_B;15100353597
7;05-04-2019 00-59-31;VARIANT_B;15160379012
8;05-04-2019 00-59-46;VARIANT_B;15384423976
9;05-04-2019 01-00-01;VARIANT_B;14021943194
10;05-04-2019 01-00-16;VARIANT_B;15214846343
11;05-04-2019 01-00-31;VARIANT_B;15172010294
12;05-04-2019 01-00-46;VARIANT_B;14859743039
13;05-04-2019 01-01-01;VARIANT_B;14649952182
14;05-04-2019 01-01-15;VARIANT_B;14333479163
15;05-04-2019 01-01-31;VARIANT_B;15016978765
16;05-04-2019 01-01-47;VARIANT_B;16125813824
17;05-04-2019 01-02-01;VARIANT_B;14447957392
18;05-04-2019 01-02-16;VARIANT_B;14716704217
19;05-04-2019 01-02-31;VARIANT_B;14988463091
20;05-04-2019 01-02-47;VARIANT_B;15442197405
21;05-04-2019 01-03-01;VARIANT_B;13756420074
22;05-04-2019 01-03-16;VARIANT_B;14832111995
23;05-04-2019 01-03-30;VARIANT_B;14007025644
24;05-04-2019 01-03-44;VARIANT_B;14374494933
25;05-04-2019 01-04-00;VARIANT_B;15585592276
26;05-04-2019 01-04-15;VARIANT_B;14973715792
27;05-04-2019 01-04-30;VARIANT_B;14995392921
28;05-04-2019 01-04-45;VARIANT_B;15016285023
29;05-04-2019 01-05-00;VARIANT_B;14840654935
30;05-04-2019 01-05-15;VARIANT_B;14825315914
