Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 10-38-48;VARIANT_B;23770601989
1;05-04-2019 10-39-11;VARIANT_B;23803618310
2;05-04-2019 10-39-36;VARIANT_B;24238708664
3;05-04-2019 10-40-00;VARIANT_B;23982578291
4;05-04-2019 10-40-24;VARIANT_B;23996132899
5;05-04-2019 10-40-49;VARIANT_B;24464887114
6;05-04-2019 10-41-14;VARIANT_B;24846760215
7;05-04-2019 10-41-40;VARIANT_B;26372846641
8;05-04-2019 10-42-06;VARIANT_B;25805263451
9;05-04-2019 10-42-32;VARIANT_B;25617665213
10;05-04-2019 10-42-57;VARIANT_B;25378212528
11;05-04-2019 10-43-23;VARIANT_B;25293516635
12;05-04-2019 10-43-48;VARIANT_B;25675053866
13;05-04-2019 10-44-14;VARIANT_B;25367102376
14;05-04-2019 10-44-39;VARIANT_B;25312547253
15;05-04-2019 10-45-05;VARIANT_B;25384424000
16;05-04-2019 10-45-30;VARIANT_B;24983640143
17;05-04-2019 10-45-55;VARIANT_B;25199875197
18;05-04-2019 10-46-21;VARIANT_B;25335442226
19;05-04-2019 10-46-46;VARIANT_B;25261609692
20;05-04-2019 10-47-11;VARIANT_B;25222239880
21;05-04-2019 10-47-37;VARIANT_B;25053673486
22;05-04-2019 10-48-02;VARIANT_B;25043328756
23;05-04-2019 10-48-27;VARIANT_B;25128672534
24;05-04-2019 10-48-53;VARIANT_B;25568005632
25;05-04-2019 10-49-18;VARIANT_B;25457381430
26;05-04-2019 10-49-44;VARIANT_B;25577972966
27;05-04-2019 10-50-09;VARIANT_B;25330356351
28;05-04-2019 10-50-35;VARIANT_B;25165291603
29;05-04-2019 10-51-00;VARIANT_B;25396360720
30;05-04-2019 10-51-25;VARIANT_B;25031870147
31;05-04-2019 10-51-51;VARIANT_B;25457374972
32;05-04-2019 10-52-16;VARIANT_B;25483721422
33;05-04-2019 10-52-42;VARIANT_B;25479625522
34;05-04-2019 10-53-07;VARIANT_B;25028951301
35;05-04-2019 10-53-33;VARIANT_B;25274751684
36;05-04-2019 10-53-59;VARIANT_B;25933056886
37;05-04-2019 10-54-24;VARIANT_B;25290718444
38;05-04-2019 10-54-50;VARIANT_B;25479410769
39;05-04-2019 10-55-15;VARIANT_B;25189674585
40;05-04-2019 10-55-40;VARIANT_B;25454593937
41;05-04-2019 10-56-06;VARIANT_B;25084218765
42;05-04-2019 10-56-31;VARIANT_B;24824210695
43;05-04-2019 10-56-55;VARIANT_B;24802901103
44;05-04-2019 10-57-20;VARIANT_B;24723281431
45;05-04-2019 10-57-46;VARIANT_B;25656876283
46;05-04-2019 10-58-11;VARIANT_B;25021885712
47;05-04-2019 10-58-36;VARIANT_B;25021273961
48;05-04-2019 10-59-01;VARIANT_B;24809658358
49;05-04-2019 10-59-26;VARIANT_B;24871142523
50;05-04-2019 10-59-51;VARIANT_B;25037953530
51;05-04-2019 11-00-17;VARIANT_B;25052057143
52;05-04-2019 11-00-42;VARIANT_B;25457552573
53;05-04-2019 11-01-08;VARIANT_B;25445288065
54;05-04-2019 11-01-33;VARIANT_B;25451914163
55;05-04-2019 11-01-59;VARIANT_B;25224185761
56;05-04-2019 11-02-24;VARIANT_B;25417540644
57;05-04-2019 11-02-50;VARIANT_B;25259961638
58;05-04-2019 11-03-15;VARIANT_B;25441358881
59;05-04-2019 11-03-41;VARIANT_B;25391071696
60;05-04-2019 11-04-06;VARIANT_B;25662809281
61;05-04-2019 11-04-32;VARIANT_B;25418143986
62;05-04-2019 11-04-56;VARIANT_B;23837666914
63;05-04-2019 11-05-21;VARIANT_B;25468037060
64;05-04-2019 11-05-47;VARIANT_B;25114125876
65;05-04-2019 11-06-12;VARIANT_B;24847805820
66;05-04-2019 11-06-37;VARIANT_B;24899781855
67;05-04-2019 11-07-02;VARIANT_B;25035315744
68;05-04-2019 11-07-27;VARIANT_B;25000039834
69;05-04-2019 11-07-52;VARIANT_B;25241725977
70;05-04-2019 11-08-17;VARIANT_B;25010768499
71;05-04-2019 11-08-42;VARIANT_B;24493692554
72;05-04-2019 11-09-07;VARIANT_B;25218796116
73;05-04-2019 11-09-33;VARIANT_B;25670634623
74;05-04-2019 11-09-59;VARIANT_B;25332083970
75;05-04-2019 11-10-24;VARIANT_B;25399999635
76;05-04-2019 11-10-49;VARIANT_B;25090836142
77;05-04-2019 11-11-14;VARIANT_B;25055553963
78;05-04-2019 11-11-39;VARIANT_B;24858065338
79;05-04-2019 11-12-05;VARIANT_B;25590185081
80;05-04-2019 11-12-30;VARIANT_B;25008091465
81;05-04-2019 11-12-55;VARIANT_B;25005268128
82;05-04-2019 11-13-20;VARIANT_B;24833224296
83;05-04-2019 11-13-46;VARIANT_B;25693215245
84;05-04-2019 11-14-11;VARIANT_B;24531641286
85;05-04-2019 11-14-35;VARIANT_B;24326253034
86;05-04-2019 11-15-00;VARIANT_B;25083131132
87;05-04-2019 11-15-26;VARIANT_B;25465589557
88;05-04-2019 11-15-52;VARIANT_B;25549762433
89;05-04-2019 11-16-17;VARIANT_B;25469625067
90;05-04-2019 11-16-43;VARIANT_B;25729845203
91;05-04-2019 11-17-09;VARIANT_B;25316153837
92;05-04-2019 11-17-34;VARIANT_B;25219565472
93;05-04-2019 11-18-00;VARIANT_B;25432579707
94;05-04-2019 11-18-25;VARIANT_B;25560797416
95;05-04-2019 11-18-51;VARIANT_B;25423411394
96;05-04-2019 11-19-16;VARIANT_B;25464095596
97;05-04-2019 11-19-42;VARIANT_B;25468587384
98;05-04-2019 11-20-07;VARIANT_B;25300132574
99;05-04-2019 11-20-32;VARIANT_B;25008499565
100;05-04-2019 11-20-58;VARIANT_B;25096271149
101;05-04-2019 11-21-23;VARIANT_B;25377915201
102;05-04-2019 11-21-49;VARIANT_B;25362610287
103;05-04-2019 11-22-14;VARIANT_B;25209385053
104;05-04-2019 11-22-39;VARIANT_B;25014184427
105;05-04-2019 11-23-04;VARIANT_B;25030800571
106;05-04-2019 11-23-30;VARIANT_B;25379003106
107;05-04-2019 11-23-56;VARIANT_B;26398702681
108;05-04-2019 11-24-22;VARIANT_B;25819713148
109;05-04-2019 11-24-48;VARIANT_B;25205359770
110;05-04-2019 11-25-12;VARIANT_B;24825711489
111;05-04-2019 11-25-38;VARIANT_B;24922533046
112;05-04-2019 11-26-03;VARIANT_B;24879351751
113;05-04-2019 11-26-27;VARIANT_B;24288806831
114;05-04-2019 11-26-51;VARIANT_B;24387124864
115;05-04-2019 11-27-16;VARIANT_B;24149775706
116;05-04-2019 11-27-41;VARIANT_B;25576504484
117;05-04-2019 11-28-06;VARIANT_B;24722621678
118;05-04-2019 11-28-31;VARIANT_B;24947739104
119;05-04-2019 11-28-57;VARIANT_B;25255269331
120;05-04-2019 11-29-22;VARIANT_B;25310692092
121;05-04-2019 11-29-48;VARIANT_B;25351354036
122;05-04-2019 11-30-13;VARIANT_B;25482227936
123;05-04-2019 11-30-38;VARIANT_B;25022645757
124;05-04-2019 11-31-04;VARIANT_B;25565913340
125;05-04-2019 11-31-30;VARIANT_B;25508507380
126;05-04-2019 11-31-55;VARIANT_B;25479034982
127;05-04-2019 11-32-21;VARIANT_B;25587809401
128;05-04-2019 11-32-46;VARIANT_B;25428500920
129;05-04-2019 11-33-12;VARIANT_B;25292214456
130;05-04-2019 11-33-37;VARIANT_B;25042641067
131;05-04-2019 11-34-02;VARIANT_B;25355043539
132;05-04-2019 11-34-28;VARIANT_B;25267729567
133;05-04-2019 11-34-54;VARIANT_B;25710010762
134;05-04-2019 11-35-19;VARIANT_B;25532898219
135;05-04-2019 11-35-44;VARIANT_B;24858526772
136;05-04-2019 11-36-10;VARIANT_B;25707275849
137;05-04-2019 11-36-36;VARIANT_B;25496377728
138;05-04-2019 11-37-00;VARIANT_B;24504637250
139;05-04-2019 11-37-26;VARIANT_B;25400494055
140;05-04-2019 11-37-51;VARIANT_B;25157522734
141;05-04-2019 11-38-17;VARIANT_B;25424207537
142;05-04-2019 11-38-42;VARIANT_B;25063424391
143;05-04-2019 11-39-06;VARIANT_B;24398266600
144;05-04-2019 11-39-31;VARIANT_B;24419814346
145;05-04-2019 11-39-56;VARIANT_B;24458942594
146;05-04-2019 11-40-21;VARIANT_B;25328397440
147;05-04-2019 11-40-45;VARIANT_B;24265068974
148;05-04-2019 11-41-10;VARIANT_B;24148267978
149;05-04-2019 11-41-34;VARIANT_B;24377524268
150;05-04-2019 11-41-58;VARIANT_B;24083833907
151;05-04-2019 11-42-23;VARIANT_B;24472389040
152;05-04-2019 11-42-47;VARIANT_B;24149096671
153;05-04-2019 11-43-12;VARIANT_B;24334650147
154;05-04-2019 11-43-37;VARIANT_B;24943773116
155;05-04-2019 11-44-01;VARIANT_B;24568034859
156;05-04-2019 11-44-27;VARIANT_B;25151039149
157;05-04-2019 11-44-51;VARIANT_B;24285967177
158;05-04-2019 11-45-16;VARIANT_B;25152592343
159;05-04-2019 11-45-41;VARIANT_B;24533759904
160;05-04-2019 11-46-06;VARIANT_B;24435848256
161;05-04-2019 11-46-30;VARIANT_B;24579965588
162;05-04-2019 11-46-56;VARIANT_B;25467478642
163;05-04-2019 11-47-21;VARIANT_B;25609505343
164;05-04-2019 11-47-46;VARIANT_B;24712969760
165;05-04-2019 11-48-11;VARIANT_B;24625745524
166;05-04-2019 11-48-36;VARIANT_B;24526718117
167;05-04-2019 11-49-01;VARIANT_B;24746962789
168;05-04-2019 11-49-26;VARIANT_B;25201771033
169;05-04-2019 11-49-51;VARIANT_B;24552103807
170;05-04-2019 11-50-16;VARIANT_B;25178218841
171;05-04-2019 11-50-41;VARIANT_B;25233982510
172;05-04-2019 11-51-06;VARIANT_B;25111305442
173;05-04-2019 11-51-32;VARIANT_B;25138863931
174;05-04-2019 11-51-58;VARIANT_B;26368205811
175;05-04-2019 11-52-25;VARIANT_B;26323218843
176;05-04-2019 11-52-51;VARIANT_B;25890674788
177;05-04-2019 11-53-17;VARIANT_B;25811595787
178;05-04-2019 11-53-42;VARIANT_B;25698672017
179;05-04-2019 11-54-09;VARIANT_B;26313695524
180;05-04-2019 11-54-35;VARIANT_B;25724676524
181;05-04-2019 11-55-01;VARIANT_B;26186313133
182;05-04-2019 11-55-27;VARIANT_B;25675746580
183;05-04-2019 11-55-53;VARIANT_B;26447801647
184;05-04-2019 11-56-19;VARIANT_B;25939371776
185;05-04-2019 11-56-45;VARIANT_B;25227160745
186;05-04-2019 11-57-11;VARIANT_B;26373561461
187;05-04-2019 11-57-39;VARIANT_B;27323984795
188;05-04-2019 11-58-04;VARIANT_B;25543587442
189;05-04-2019 11-58-30;VARIANT_B;25830496085
190;05-04-2019 11-58-56;VARIANT_B;25993902614
191;05-04-2019 11-59-22;VARIANT_B;25942952305
192;05-04-2019 11-59-48;VARIANT_B;25498994428
193;05-04-2019 12-00-14;VARIANT_B;26084135574
194;05-04-2019 12-00-40;VARIANT_B;25767125370
195;05-04-2019 12-01-06;VARIANT_B;25422386216
196;05-04-2019 12-01-32;VARIANT_B;25854299798
197;05-04-2019 12-01-58;VARIANT_B;26258916437
198;05-04-2019 12-02-23;VARIANT_B;25276426629
199;05-04-2019 12-02-49;VARIANT_B;26039303434
200;05-04-2019 12-03-15;VARIANT_B;25633238408
201;05-04-2019 12-03-41;VARIANT_B;26153180609
