Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;08-04-2019 15-46-56;VARIANT_B;3194271849
1;08-04-2019 15-46-59;VARIANT_B;2827150606
2;08-04-2019 15-47-02;VARIANT_B;2725535276
3;08-04-2019 15-47-05;VARIANT_B;2800892945
4;08-04-2019 15-47-08;VARIANT_B;2741102417
5;08-04-2019 15-47-11;VARIANT_B;2676227622
6;08-04-2019 15-47-14;VARIANT_B;2675846060
7;08-04-2019 15-47-16;VARIANT_B;2654683796
8;08-04-2019 15-47-19;VARIANT_B;2618419421
9;08-04-2019 15-47-22;VARIANT_B;2733778416
10;08-04-2019 15-47-25;VARIANT_B;2652335757
11;08-04-2019 15-47-27;VARIANT_B;2730753451
12;08-04-2019 15-47-30;VARIANT_B;2790362777
13;08-04-2019 15-47-33;VARIANT_B;2690424859
14;08-04-2019 15-47-36;VARIANT_B;2664075347
15;08-04-2019 15-47-39;VARIANT_B;2683142538
16;08-04-2019 15-47-41;VARIANT_B;2631311457
17;08-04-2019 15-47-44;VARIANT_B;2678799811
18;08-04-2019 15-47-47;VARIANT_B;2669776529
19;08-04-2019 15-47-50;VARIANT_B;2687675924
20;08-04-2019 15-47-53;VARIANT_B;2722287742
21;08-04-2019 15-47-55;VARIANT_B;2692280740
22;08-04-2019 15-47-58;VARIANT_B;2687053000
23;08-04-2019 15-48-01;VARIANT_B;2780168106
24;08-04-2019 15-48-04;VARIANT_B;2735958417
25;08-04-2019 15-48-07;VARIANT_B;2755685444
26;08-04-2019 15-48-09;VARIANT_B;2579663559
27;08-04-2019 15-48-12;VARIANT_B;2670106135
28;08-04-2019 15-48-15;VARIANT_B;2673880853
29;08-04-2019 15-48-18;VARIANT_B;2653617701
30;08-04-2019 15-48-21;VARIANT_B;2727302851
31;08-04-2019 15-48-23;VARIANT_B;2682076572
32;08-04-2019 15-48-26;VARIANT_B;2672830254
33;08-04-2019 15-48-29;VARIANT_B;2716950305
34;08-04-2019 15-48-32;VARIANT_B;2715728512
35;08-04-2019 15-48-35;VARIANT_B;2683308575
36;08-04-2019 15-48-37;VARIANT_B;2658523519
37;08-04-2019 15-48-40;VARIANT_B;2610442459
38;08-04-2019 15-48-43;VARIANT_B;2651214175
39;08-04-2019 15-48-45;VARIANT_B;2630504287
40;08-04-2019 15-48-48;VARIANT_B;2638245895
41;08-04-2019 15-48-51;VARIANT_B;2653816367
42;08-04-2019 15-48-54;VARIANT_B;2594779003
43;08-04-2019 15-48-56;VARIANT_B;2615338223
44;08-04-2019 15-48-59;VARIANT_B;2684743943
45;08-04-2019 15-49-02;VARIANT_B;2618834541
46;08-04-2019 15-49-05;VARIANT_B;2637936186
47;08-04-2019 15-49-07;VARIANT_B;2609846740
48;08-04-2019 15-49-10;VARIANT_B;2609187221
49;08-04-2019 15-49-13;VARIANT_B;2643281231
50;08-04-2019 15-49-15;VARIANT_B;2653976881
51;08-04-2019 15-49-18;VARIANT_B;2639998471
52;08-04-2019 15-49-21;VARIANT_B;2640535694
53;08-04-2019 15-49-24;VARIANT_B;2609892252
54;08-04-2019 15-49-26;VARIANT_B;2622796401
55;08-04-2019 15-49-29;VARIANT_B;2632651159
56;08-04-2019 15-49-32;VARIANT_B;2578122845
57;08-04-2019 15-49-34;VARIANT_B;2609992875
58;08-04-2019 15-49-37;VARIANT_B;2616091154
59;08-04-2019 15-49-40;VARIANT_B;2628182172
60;08-04-2019 15-49-43;VARIANT_B;2616911802
61;08-04-2019 15-49-45;VARIANT_B;2661991305
62;08-04-2019 15-49-48;VARIANT_B;2647574700
