Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 17-18-34;VARIANT_B;4920375514
1;05-04-2019 17-18-39;VARIANT_B;4909156746
2;05-04-2019 17-18-44;VARIANT_B;4151905764
3;05-04-2019 17-18-48;VARIANT_B;3849913470
4;05-04-2019 17-18-52;VARIANT_B;4139756052
5;05-04-2019 17-18-56;VARIANT_B;4044771081
6;05-04-2019 17-19-00;VARIANT_B;4184174956
7;05-04-2019 17-19-04;VARIANT_B;3847157063
8;05-04-2019 17-19-09;VARIANT_B;4275085251
9;05-04-2019 17-19-13;VARIANT_B;4454073219
10;05-04-2019 17-19-18;VARIANT_B;4411137212
11;05-04-2019 17-19-22;VARIANT_B;4107681897
12;05-04-2019 17-19-26;VARIANT_B;4342193396
13;05-04-2019 17-19-31;VARIANT_B;4221685271
14;05-04-2019 17-19-35;VARIANT_B;4061194924
15;05-04-2019 17-19-39;VARIANT_B;4191618579
16;05-04-2019 17-19-43;VARIANT_B;3825652879
17;05-04-2019 17-19-47;VARIANT_B;4268528839
18;05-04-2019 17-19-52;VARIANT_B;4292939104
19;05-04-2019 17-19-56;VARIANT_B;4295608446
20;05-04-2019 17-20-01;VARIANT_B;4226437041
21;05-04-2019 17-20-05;VARIANT_B;4115192302
22;05-04-2019 17-20-09;VARIANT_B;4306455262
23;05-04-2019 17-20-14;VARIANT_B;4247315552
24;05-04-2019 17-20-17;VARIANT_B;3590085522
25;05-04-2019 17-20-21;VARIANT_B;3874354923
26;05-04-2019 17-20-25;VARIANT_B;4130857332
27;05-04-2019 17-20-30;VARIANT_B;4021855154
28;05-04-2019 17-20-34;VARIANT_B;3994024137
29;05-04-2019 17-20-38;VARIANT_B;4344078322
30;05-04-2019 17-20-43;VARIANT_B;4504720954
31;05-04-2019 17-20-47;VARIANT_B;4161687230
32;05-04-2019 17-20-51;VARIANT_B;4267100499
33;05-04-2019 17-20-56;VARIANT_B;4282341406
34;05-04-2019 17-20-59;VARIANT_B;3803352054
35;05-04-2019 17-21-03;VARIANT_B;3783319658
36;05-04-2019 17-21-07;VARIANT_B;3486249074
