Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;06-04-2019 01-14-13;VARIANT_B;14591534378
1;06-04-2019 01-14-27;VARIANT_B;13826849753
2;06-04-2019 01-14-41;VARIANT_B;13805333547
3;06-04-2019 01-14-54;VARIANT_B;13040353477
4;06-04-2019 01-15-09;VARIANT_B;14358063347
5;06-04-2019 01-15-23;VARIANT_B;14464094902
6;06-04-2019 01-15-37;VARIANT_B;13710830470
7;06-04-2019 01-15-51;VARIANT_B;13767346830
8;06-04-2019 01-16-05;VARIANT_B;13688134777
9;06-04-2019 01-16-18;VARIANT_B;13630928041
10;06-04-2019 01-16-34;VARIANT_B;15784043222
11;06-04-2019 01-16-47;VARIANT_B;13168933971
12;06-04-2019 01-17-03;VARIANT_B;15618413860
13;06-04-2019 01-17-18;VARIANT_B;15120943094
14;06-04-2019 01-17-34;VARIANT_B;15077772635
15;06-04-2019 01-17-48;VARIANT_B;14518810307
16;06-04-2019 01-18-03;VARIANT_B;15033004333
17;06-04-2019 01-18-18;VARIANT_B;14685563013
18;06-04-2019 01-18-33;VARIANT_B;14659064416
19;06-04-2019 01-18-48;VARIANT_B;14829321935
20;06-04-2019 01-19-03;VARIANT_B;15029936132
21;06-04-2019 01-19-18;VARIANT_B;14542592702
22;06-04-2019 01-19-33;VARIANT_B;14994833446
23;06-04-2019 01-19-48;VARIANT_B;14938266198
24;06-04-2019 01-20-04;VARIANT_B;15560477340
25;06-04-2019 01-20-19;VARIANT_B;15088208312
26;06-04-2019 01-20-34;VARIANT_B;15019916795
27;06-04-2019 01-20-49;VARIANT_B;14748878686
28;06-04-2019 01-21-04;VARIANT_B;14722014511
29;06-04-2019 01-21-18;VARIANT_B;14769729416
30;06-04-2019 01-21-34;VARIANT_B;15431123676
31;06-04-2019 01-21-49;VARIANT_B;15086760465
32;06-04-2019 01-22-05;VARIANT_B;15342510683
33;06-04-2019 01-22-19;VARIANT_B;14779303031
34;06-04-2019 01-22-34;VARIANT_B;14561941864
35;06-04-2019 01-22-49;VARIANT_B;15205616386
36;06-04-2019 01-23-05;VARIANT_B;15093021291
37;06-04-2019 01-23-20;VARIANT_B;15192410408
38;06-04-2019 01-23-35;VARIANT_B;14772600773
39;06-04-2019 01-23-50;VARIANT_B;14934397934
40;06-04-2019 01-24-05;VARIANT_B;14958080490
41;06-04-2019 01-24-20;VARIANT_B;14619510675
42;06-04-2019 01-24-35;VARIANT_B;14837841692
43;06-04-2019 01-24-49;VARIANT_B;14723776787
44;06-04-2019 01-25-04;VARIANT_B;14612263959
45;06-04-2019 01-25-19;VARIANT_B;14963767040
46;06-04-2019 01-25-34;VARIANT_B;14957295125
47;06-04-2019 01-25-49;VARIANT_B;14861173054
48;06-04-2019 01-26-04;VARIANT_B;14849082859
49;06-04-2019 01-26-19;VARIANT_B;14886492180
50;06-04-2019 01-26-34;VARIANT_B;14885560760
51;06-04-2019 01-26-49;VARIANT_B;14781793073
52;06-04-2019 01-27-03;VARIANT_B;14370193934
53;06-04-2019 01-27-19;VARIANT_B;15351974815
54;06-04-2019 01-27-34;VARIANT_B;14840392018
55;06-04-2019 01-27-49;VARIANT_B;14522577934
56;06-04-2019 01-28-04;VARIANT_B;15163868470
57;06-04-2019 01-28-19;VARIANT_B;14778506076
58;06-04-2019 01-28-34;VARIANT_B;15043026076
59;06-04-2019 01-28-49;VARIANT_B;15108945571
60;06-04-2019 01-29-04;VARIANT_B;15092336251
61;06-04-2019 01-29-19;VARIANT_B;14725187951
62;06-04-2019 01-29-34;VARIANT_B;14876371348
63;06-04-2019 01-29-49;VARIANT_B;14833845673
64;06-04-2019 01-30-04;VARIANT_B;14743625785
65;06-04-2019 01-30-19;VARIANT_B;14663258525
66;06-04-2019 01-30-33;VARIANT_B;14508373031
67;06-04-2019 01-30-48;VARIANT_B;15155581188
68;06-04-2019 01-31-04;VARIANT_B;14997780675
69;06-04-2019 01-31-19;VARIANT_B;15056007676
70;06-04-2019 01-31-34;VARIANT_B;14810656463
71;06-04-2019 01-31-48;VARIANT_B;14642392756
72;06-04-2019 01-32-03;VARIANT_B;14584579797
73;06-04-2019 01-32-18;VARIANT_B;14814183728
74;06-04-2019 01-32-33;VARIANT_B;15018112124
75;06-04-2019 01-32-48;VARIANT_B;15001190921
76;06-04-2019 01-33-03;VARIANT_B;14775992710
77;06-04-2019 01-33-18;VARIANT_B;15130485979
78;06-04-2019 01-33-33;VARIANT_B;14939886450
79;06-04-2019 01-33-48;VARIANT_B;14863870239
80;06-04-2019 01-34-03;VARIANT_B;14977432300
81;06-04-2019 01-34-18;VARIANT_B;14742163461
82;06-04-2019 01-34-33;VARIANT_B;14604250975
83;06-04-2019 01-34-48;VARIANT_B;14901895570
84;06-04-2019 01-35-03;VARIANT_B;14788065205
85;06-04-2019 01-35-17;VARIANT_B;14635452745
86;06-04-2019 01-35-32;VARIANT_B;14737198037
87;06-04-2019 01-35-47;VARIANT_B;14874151847
88;06-04-2019 01-36-01;VARIANT_B;14195174661
89;06-04-2019 01-36-16;VARIANT_B;14879944877
90;06-04-2019 01-36-31;VARIANT_B;14537603304
91;06-04-2019 01-36-46;VARIANT_B;15096404102
92;06-04-2019 01-37-01;VARIANT_B;14860298379
93;06-04-2019 01-37-16;VARIANT_B;14972099429
94;06-04-2019 01-37-31;VARIANT_B;14747731726
95;06-04-2019 01-37-47;VARIANT_B;15320644716
96;06-04-2019 01-38-02;VARIANT_B;15071563111
97;06-04-2019 01-38-17;VARIANT_B;15331773667
98;06-04-2019 01-38-32;VARIANT_B;14620944046
99;06-04-2019 01-38-46;VARIANT_B;13758551118
100;06-04-2019 01-39-00;VARIANT_B;14380591103
