Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 01-05-31;VARIANT_B;7153005467
1;05-04-2019 01-05-38;VARIANT_B;7392394984
2;05-04-2019 01-05-45;VARIANT_B;7083651043
3;05-04-2019 01-05-54;VARIANT_B;8628307091
4;05-04-2019 01-06-03;VARIANT_B;8391056651
5;05-04-2019 01-06-11;VARIANT_B;8496064379
6;05-04-2019 01-06-19;VARIANT_B;7415417726
7;05-04-2019 01-06-27;VARIANT_B;8241051669
8;05-04-2019 01-06-35;VARIANT_B;7668482991
9;05-04-2019 01-06-43;VARIANT_B;7647622442
10;05-04-2019 01-06-51;VARIANT_B;8106100022
11;05-04-2019 01-06-59;VARIANT_B;8496150063
12;05-04-2019 01-07-08;VARIANT_B;8290044084
13;05-04-2019 01-07-16;VARIANT_B;8272475034
14;05-04-2019 01-07-25;VARIANT_B;8160528142
15;05-04-2019 01-07-33;VARIANT_B;8181447447
16;05-04-2019 01-07-41;VARIANT_B;8027215360
17;05-04-2019 01-07-49;VARIANT_B;7619404777
18;05-04-2019 01-07-56;VARIANT_B;7632442521
19;05-04-2019 01-08-05;VARIANT_B;8528785317
20;05-04-2019 01-08-13;VARIANT_B;7900515405
21;05-04-2019 01-08-21;VARIANT_B;8223028092
22;05-04-2019 01-08-29;VARIANT_B;7988551855
23;05-04-2019 01-08-38;VARIANT_B;7967969099
24;05-04-2019 01-08-46;VARIANT_B;7982610598
25;05-04-2019 01-08-53;VARIANT_B;7517335353
26;05-04-2019 01-09-01;VARIANT_B;7750883899
27;05-04-2019 01-09-09;VARIANT_B;7882231614
28;05-04-2019 01-09-17;VARIANT_B;8192538944
29;05-04-2019 01-09-26;VARIANT_B;7973975407
30;05-04-2019 01-09-34;VARIANT_B;7905281533
31;05-04-2019 01-09-41;VARIANT_B;7744315525
32;05-04-2019 01-09-50;VARIANT_B;8463582647
33;05-04-2019 01-09-58;VARIANT_B;8009261870
34;05-04-2019 01-10-06;VARIANT_B;8015415331
35;05-04-2019 01-10-14;VARIANT_B;8016950474
36;05-04-2019 01-10-22;VARIANT_B;7957453515
37;05-04-2019 01-10-30;VARIANT_B;7543467804
38;05-04-2019 01-10-38;VARIANT_B;7445555056
39;05-04-2019 01-10-45;VARIANT_B;7427421418
40;05-04-2019 01-10-53;VARIANT_B;7983212108
41;05-04-2019 01-11-02;VARIANT_B;8195524068
42;05-04-2019 01-11-09;VARIANT_B;7097383164
43;05-04-2019 01-11-16;VARIANT_B;7165156456
44;05-04-2019 01-11-24;VARIANT_B;7569017758
45;05-04-2019 01-11-31;VARIANT_B;7257871737
46;05-04-2019 01-11-39;VARIANT_B;8095161584
47;05-04-2019 01-11-47;VARIANT_B;7620083885
48;05-04-2019 01-11-55;VARIANT_B;7912097816
49;05-04-2019 01-12-03;VARIANT_B;7886047215
50;05-04-2019 01-12-11;VARIANT_B;7547405556
51;05-04-2019 01-12-18;VARIANT_B;7351706182
52;05-04-2019 01-12-26;VARIANT_B;7767746686
53;05-04-2019 01-12-34;VARIANT_B;7421769353
54;05-04-2019 01-12-42;VARIANT_B;7936972022
55;05-04-2019 01-12-49;VARIANT_B;7691382815
56;05-04-2019 01-12-57;VARIANT_B;7627404625
57;05-04-2019 01-13-05;VARIANT_B;7530921091
58;05-04-2019 01-13-12;VARIANT_B;7586567255
59;05-04-2019 01-13-20;VARIANT_B;7585902624
