Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 16-14-04;VARIANT_B;7985175211
1;05-04-2019 16-14-12;VARIANT_B;7571374571
2;05-04-2019 16-14-19;VARIANT_B;7401056555
3;05-04-2019 16-14-29;VARIANT_B;9693851130
4;05-04-2019 16-14-38;VARIANT_B;9428872753
5;05-04-2019 16-14-47;VARIANT_B;8355821270
6;05-04-2019 16-14-55;VARIANT_B;8143764800
7;05-04-2019 16-15-03;VARIANT_B;7689547846
8;05-04-2019 16-15-11;VARIANT_B;8011138225
9;05-04-2019 16-15-19;VARIANT_B;8156607882
10;05-04-2019 16-15-27;VARIANT_B;7969816480
11;05-04-2019 16-15-36;VARIANT_B;8132095835
12;05-04-2019 16-15-43;VARIANT_B;7621062089
13;05-04-2019 16-15-51;VARIANT_B;7404941944
14;05-04-2019 16-15-59;VARIANT_B;7587373267
15;05-04-2019 16-16-06;VARIANT_B;7284414419
16;05-04-2019 16-16-14;VARIANT_B;7689462635
17;05-04-2019 16-16-22;VARIANT_B;7804898758
18;05-04-2019 16-16-30;VARIANT_B;7891794329
19;05-04-2019 16-16-38;VARIANT_B;7931670480
20;05-04-2019 16-16-45;VARIANT_B;7540355641
21;05-04-2019 16-16-53;VARIANT_B;7681692629
22;05-04-2019 16-17-01;VARIANT_B;7891074817
23;05-04-2019 16-17-09;VARIANT_B;8049694896
24;05-04-2019 16-17-17;VARIANT_B;7864244748
25;05-04-2019 16-17-25;VARIANT_B;7863942615
26;05-04-2019 16-17-33;VARIANT_B;7601141208
27;05-04-2019 16-17-41;VARIANT_B;7940322462
28;05-04-2019 16-17-49;VARIANT_B;8174308788
29;05-04-2019 16-17-58;VARIANT_B;8146930780
30;05-04-2019 16-18-05;VARIANT_B;7721333829
31;05-04-2019 16-18-13;VARIANT_B;7586377779
32;05-04-2019 16-18-22;VARIANT_B;8629252140
33;05-04-2019 16-18-30;VARIANT_B;7811041237
34;05-04-2019 16-18-37;VARIANT_B;7349129588
35;05-04-2019 16-18-45;VARIANT_B;7720487864
36;05-04-2019 16-18-53;VARIANT_B;7870803907
37;05-04-2019 16-19-01;VARIANT_B;7829499601
38;05-04-2019 16-19-08;VARIANT_B;7410812741
39;05-04-2019 16-19-16;VARIANT_B;7561967075
40;05-04-2019 16-19-24;VARIANT_B;7546940680
41;05-04-2019 16-19-32;VARIANT_B;8181715239
42;05-04-2019 16-19-39;VARIANT_B;7143772264
43;05-04-2019 16-19-47;VARIANT_B;7162597682
44;05-04-2019 16-19-54;VARIANT_B;7482377927
45;05-04-2019 16-20-02;VARIANT_B;7273075458
46;05-04-2019 16-20-09;VARIANT_B;7270794230
47;05-04-2019 16-20-17;VARIANT_B;7921479142
48;05-04-2019 16-20-25;VARIANT_B;8048155020
49;05-04-2019 16-20-33;VARIANT_B;7694218447
50;05-04-2019 16-20-41;VARIANT_B;7335738719
51;05-04-2019 16-20-49;VARIANT_B;7824320200
52;05-04-2019 16-20-56;VARIANT_B;7236250027
53;05-04-2019 16-21-03;VARIANT_B;7319552679
54;05-04-2019 16-21-11;VARIANT_B;7248116274
55;05-04-2019 16-21-18;VARIANT_B;7524443379
56;05-04-2019 16-21-26;VARIANT_B;7420258389
57;05-04-2019 16-21-34;VARIANT_B;7603146312
58;05-04-2019 16-21-42;VARIANT_B;7962644047
59;05-04-2019 16-21-50;VARIANT_B;7795571659
60;05-04-2019 16-21-58;VARIANT_B;7832044648
61;05-04-2019 16-22-05;VARIANT_B;7830980199
62;05-04-2019 16-22-13;VARIANT_B;7575036142
63;05-04-2019 16-22-21;VARIANT_B;7511529628
64;05-04-2019 16-22-28;VARIANT_B;7143621828
65;05-04-2019 16-22-35;VARIANT_B;6785240505
66;05-04-2019 16-22-42;VARIANT_B;7380965765
67;05-04-2019 16-22-50;VARIANT_B;7777681920
68;05-04-2019 16-22-58;VARIANT_B;7622405079
69;05-04-2019 16-23-06;VARIANT_B;7486545990
70;05-04-2019 16-23-13;VARIANT_B;7561549265
71;05-04-2019 16-23-21;VARIANT_B;7615732903
72;05-04-2019 16-23-29;VARIANT_B;7619103756
73;05-04-2019 16-23-36;VARIANT_B;7357836966
74;05-04-2019 16-23-44;VARIANT_B;7691744841
75;05-04-2019 16-23-52;VARIANT_B;7743168022
76;05-04-2019 16-24-00;VARIANT_B;7788515784
77;05-04-2019 16-24-08;VARIANT_B;7740026862
78;05-04-2019 16-24-15;VARIANT_B;7342985377
79;05-04-2019 16-24-23;VARIANT_B;7568026641
80;05-04-2019 16-24-31;VARIANT_B;7622157539
81;05-04-2019 16-24-38;VARIANT_B;7606081388
82;05-04-2019 16-24-45;VARIANT_B;6686913248
83;05-04-2019 16-24-53;VARIANT_B;7491081440
84;05-04-2019 16-25-00;VARIANT_B;7446328972
85;05-04-2019 16-25-08;VARIANT_B;7378374381
86;05-04-2019 16-25-15;VARIANT_B;7614798550
87;05-04-2019 16-25-22;VARIANT_B;6911265720
88;05-04-2019 16-25-30;VARIANT_B;7463669162
89;05-04-2019 16-25-38;VARIANT_B;7814575589
90;05-04-2019 16-25-46;VARIANT_B;7785015119
91;05-04-2019 16-25-54;VARIANT_B;7829358787
92;05-04-2019 16-26-01;VARIANT_B;7739229855
93;05-04-2019 16-26-09;VARIANT_B;6959652099
94;05-04-2019 16-26-16;VARIANT_B;7394220972
95;05-04-2019 16-26-24;VARIANT_B;7661295789
96;05-04-2019 16-26-31;VARIANT_B;7313110890
97;05-04-2019 16-26-38;VARIANT_B;6964746754
98;05-04-2019 16-26-46;VARIANT_B;7249029077
99;05-04-2019 16-26-53;VARIANT_B;7090880383
100;05-04-2019 16-27-01;VARIANT_B;7574502389
101;05-04-2019 16-27-08;VARIANT_B;7250145017
102;05-04-2019 16-27-15;VARIANT_B;6710029292
103;05-04-2019 16-27-22;VARIANT_B;7065678127
104;05-04-2019 16-27-29;VARIANT_B;6972393761
105;05-04-2019 16-27-36;VARIANT_B;7070536869
106;05-04-2019 16-27-44;VARIANT_B;7476085710
107;05-04-2019 16-27-51;VARIANT_B;7246193930
108;05-04-2019 16-27-59;VARIANT_B;7357082087
109;05-04-2019 16-28-06;VARIANT_B;7286948420
110;05-04-2019 16-28-14;VARIANT_B;7577044134
111;05-04-2019 16-28-21;VARIANT_B;7297952189
112;05-04-2019 16-28-29;VARIANT_B;7422313662
113;05-04-2019 16-28-36;VARIANT_B;7044237118
114;05-04-2019 16-28-43;VARIANT_B;7483169735
115;05-04-2019 16-28-51;VARIANT_B;7588770444
116;05-04-2019 16-28-59;VARIANT_B;7707724892
117;05-04-2019 16-29-07;VARIANT_B;8028340685
118;05-04-2019 16-29-15;VARIANT_B;7438463060
119;05-04-2019 16-29-23;VARIANT_B;7762936641
120;05-04-2019 16-29-30;VARIANT_B;7844943315
121;05-04-2019 16-29-38;VARIANT_B;7776176393
122;05-04-2019 16-29-46;VARIANT_B;7633510027
123;05-04-2019 16-29-54;VARIANT_B;7694283603
124;05-04-2019 16-30-02;VARIANT_B;8119715862
125;05-04-2019 16-30-10;VARIANT_B;7735858273
126;05-04-2019 16-30-17;VARIANT_B;7277521094
127;05-04-2019 16-30-25;VARIANT_B;7488958069
128;05-04-2019 16-30-32;VARIANT_B;6936456379
129;05-04-2019 16-30-39;VARIANT_B;7089516111
130;05-04-2019 16-30-46;VARIANT_B;7124715599
131;05-04-2019 16-30-54;VARIANT_B;7523488324
132;05-04-2019 16-31-02;VARIANT_B;7512167363
133;05-04-2019 16-31-10;VARIANT_B;7768009312
134;05-04-2019 16-31-17;VARIANT_B;7167110670
135;05-04-2019 16-31-25;VARIANT_B;7800402872
136;05-04-2019 16-31-32;VARIANT_B;7654916214
137;05-04-2019 16-31-40;VARIANT_B;7106872714
138;05-04-2019 16-31-48;VARIANT_B;7862247551
139;05-04-2019 16-31-56;VARIANT_B;7786263371
140;05-04-2019 16-32-03;VARIANT_B;7746784814
141;05-04-2019 16-32-11;VARIANT_B;7615234169
142;05-04-2019 16-32-19;VARIANT_B;7599511421
143;05-04-2019 16-32-27;VARIANT_B;7736780165
144;05-04-2019 16-32-35;VARIANT_B;7925587333
145;05-04-2019 16-32-43;VARIANT_B;7824366055
146;05-04-2019 16-32-50;VARIANT_B;7600584032
147;05-04-2019 16-32-58;VARIANT_B;7743505822
148;05-04-2019 16-33-06;VARIANT_B;7246650411
149;05-04-2019 16-33-14;VARIANT_B;8030053850
150;05-04-2019 16-33-21;VARIANT_B;7372432506
151;05-04-2019 16-33-29;VARIANT_B;7673183089
152;05-04-2019 16-33-37;VARIANT_B;7575173703
153;05-04-2019 16-33-44;VARIANT_B;7761148594
154;05-04-2019 16-33-52;VARIANT_B;7779690498
155;05-04-2019 16-34-00;VARIANT_B;7715420225
156;05-04-2019 16-34-08;VARIANT_B;8015432675
157;05-04-2019 16-34-16;VARIANT_B;7809452024
158;05-04-2019 16-34-24;VARIANT_B;7799191362
159;05-04-2019 16-34-32;VARIANT_B;7717016170
160;05-04-2019 16-34-40;VARIANT_B;7772046499
161;05-04-2019 16-34-47;VARIANT_B;6748634578
162;05-04-2019 16-34-54;VARIANT_B;7768882376
163;05-04-2019 16-35-02;VARIANT_B;7805794104
164;05-04-2019 16-35-10;VARIANT_B;7375047710
165;05-04-2019 16-35-17;VARIANT_B;7349910598
166;05-04-2019 16-35-25;VARIANT_B;7375516051
167;05-04-2019 16-35-33;VARIANT_B;7698825578
168;05-04-2019 16-35-40;VARIANT_B;7705831791
169;05-04-2019 16-35-48;VARIANT_B;7816095165
170;05-04-2019 16-35-55;VARIANT_B;7129511064
171;05-04-2019 16-36-04;VARIANT_B;7951608279
172;05-04-2019 16-36-11;VARIANT_B;7811571600
173;05-04-2019 16-36-19;VARIANT_B;7588454754
174;05-04-2019 16-36-27;VARIANT_B;7592400670
175;05-04-2019 16-36-34;VARIANT_B;7460998550
176;05-04-2019 16-36-42;VARIANT_B;7732024190
177;05-04-2019 16-36-50;VARIANT_B;8020246308
178;05-04-2019 16-36-58;VARIANT_B;7700094529
179;05-04-2019 16-37-06;VARIANT_B;7585683264
180;05-04-2019 16-37-14;VARIANT_B;7768190512
181;05-04-2019 16-37-21;VARIANT_B;7607957351
182;05-04-2019 16-37-29;VARIANT_B;7853358036
183;05-04-2019 16-37-37;VARIANT_B;7866101974
184;05-04-2019 16-37-45;VARIANT_B;7812272365
185;05-04-2019 16-37-53;VARIANT_B;7234929925
186;05-04-2019 16-38-00;VARIANT_B;7794261256
187;05-04-2019 16-38-08;VARIANT_B;7565220755
188;05-04-2019 16-38-16;VARIANT_B;7732721065
189;05-04-2019 16-38-24;VARIANT_B;7834377649
